,Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
1,EUG,RDM,"Eugene, OR","Bend, OR",103,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
4,MFR,RDM,"Medford, OR","Bend, OR",156,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
9,SEA,RDM,"Seattle, WA","Bend, OR",228,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
14,PDX,RDM,"Portland, OR","Bend, OR",116,45.58869934,-122.5979996,44.2541008,-121.1500015
38,LMT,RDM,"Klamath Falls, OR","Bend, OR",147,42.1561012268066,-121.733001708984,44.2541008,-121.1500015
49,SFO,RDM,"San Francisco, CA","Bend, OR",462,37.6189994812012,-122.375,44.2541008,-121.1500015
73,LAX,RDM,"Los Angeles, CA","Bend, OR",726,33.94250107,-118.4079971,44.2541008,-121.1500015
77,EAT,RDM,"Wenatchee, WA","Bend, OR",222,47.3988990784,-120.207000732,44.2541008,-121.1500015
78,YKM,RDM,"Yakima, WA","Bend, OR",162,46.56819916,-120.5439987,44.2541008,-121.1500015
91,EKO,RDM,"Elko, NV","Bend, OR",362,40.8249015808105,-115.791999816895,44.2541008,-121.1500015
219,SLE,RDM,"Salem, OR","Bend, OR",102,44.90950012,-123.0029984,44.2541008,-121.1500015
297,GEG,RDM,"Spokane, WA","Bend, OR",291,47.6198997497559,-117.533996582031,44.2541008,-121.1500015
300,RDD,RDM,"Redding, CA","Bend, OR",265,40.50899887,-122.2929993,44.2541008,-121.1500015
303,LWS,RDM,"Lewiston, ID","Bend, OR",249,46.3745002746582,-117.014999389648,44.2541008,-121.1500015
304,AST,RDM,"Astoria, OR","Bend, OR",187,46.158000946,-123.878997803,44.2541008,-121.1500015
307,CLM,RDM,"Port Angeles, WA","Bend, OR",290,48.1202011108398,-123.5,44.2541008,-121.1500015
323,PDT,RDM,"Pendleton, OR","Bend, OR",151,45.695098877,-118.841003418,44.2541008,-121.1500015
368,SJC,RDM,"San Jose, CA","Bend, OR",477,37.3625984191895,-121.929000854492,44.2541008,-121.1500015
