,Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2419158,MHK,STL,"Manhattan, KS","St. Louis, MO",341,39.140998840332,-96.6707992553711,38.7486991882324,-90.370002746582
1181380,BGR,MSN,"Bangor, ME","Madison, WI",1026,44.8073997497559,-68.8281021118164,43.1399002075195,-89.3375015258789
2733109,DSM,SJT,"Des Moines, IA","San Angelo, TX",798,41.5340003967285,-93.6631011962891,31.3577003479004,-100.496002197266
440069,HOU,LAW,"Houston, TX","Lawton, OK",386,29.64539909,-95.27890015,34.5676994324,-98.4166030884
436513,CAE,LRD,"Columbia, SC","Laredo, TX",1175,33.9388008117676,-81.119499206543,27.5438003540039,-99.4616012573242
2224926,FLL,MHK,"Fort Lauderdale, FL","Manhattan, KS",1315,26.0725994110107,-80.152702331543,39.140998840332,-96.6707992553711
2733773,PHL,SHV,"Philadelphia, PA","Shreveport, LA",1155,39.871898651123,-75.241096496582,32.4466018676758,-93.8255996704102
2860027,ATL,YNG,"Atlanta, GA","Youngstown, OH",564,33.6366996765137,-84.4281005859375,41.26070023,-80.67910004
839982,PIB,ORD,"Hattiesburg, MS","Chicago, IL",729,31.4671001434326,-89.3370971679688,41.97859955,-87.90480042
2610154,RIC,HSV,"Richmond, VA","Huntsville, AL",565,37.505199432373,-77.3197021484375,34.637199401855,-86.775100708008
185191,MIA,AUS,"Miami, FL","Austin, TX",1107,25.7931995391846,-80.2906036376953,30.1944999694824,-97.6698989868164
2017588,AFW,CLT,"Dallas, TX","Charlotte, NC",951,32.9875984192,-97.3188018799,35.2140007019043,-80.9430999755859
1399463,RIC,PHX,"Richmond, VA","Phoenix, AZ",1965,37.505199432373,-77.3197021484375,33.4342994689941,-112.012001037598
2908203,PUB,MCI,"Pueblo, CO","Kansas City, MO",532,38.2891006469727,-104.497001647949,39.2976,-94.713898
3501812,OKC,SLC,"Oklahoma City, OK","Salt Lake City, UT",866,35.3931007385254,-97.600700378418,40.7883987426758,-111.977996826172
1459817,OMA,ROA,"Omaha, NE","Roanoke, VA",894,41.3031997680664,-95.8940963745117,37.3255004883,-79.975402832
2901968,ORD,GTF,"Chicago, IL","Great Falls, MT",1210,41.97859955,-87.90480042,47.48199844,-111.3710022
46478,OAJ,MCN,"Jacksonville, NC","Macon, GA",431,34.8292007446,-77.6120986938,32.692798614502,-83.6492004394531
956994,BWG,YIP,"Bowling Green, KY","Detroit, MI",395,36.9645004272,-86.4197006226,42.23789978,-83.53040314
2145196,LNK,TYS,"Lincoln, NE","Knoxville, TN",775,40.851001739502,-96.7592010498047,35.81100082,-83.9940033
1088108,DFW,EFD,"Dallas, TX","Houston, TX",252,32.896800994873,-97.0380020141602,29.6072998047,-95.1587982178
2716050,ATW,RAP,"Appleton, WI","Rapid City, SD",722,44.2580986023,-88.5190963745,44.0452995300293,-103.056999206543
1579176,CAK,CMH,"Akron, OH","Columbus, OH",99,40.9160995483398,-81.4421997070312,39.9980010986328,-82.8918991088867
2892989,TOL,CHA,"Toledo, OH","Chattanooga, TN",458,41.58679962,-83.80780029,35.0353012084961,-85.2037963867188
374063,MDT,DAL,"Harrisburg, PA","Dallas, TX",1224,40.1935005188,-76.7633972168,32.8470993041992,-96.8517990112305
438408,BTL,LRD,"Battle Creek, MI","Laredo, TX",1294,42.3073005676,-85.2515029907,27.5438003540039,-99.4616012573242
2300886,ACY,RIV,"Atlantic City, NJ","Riverside, CA",2379,39.4575996398926,-74.5772018432617,33.88069916,-117.2590027
1186894,BZN,MFR,"Bozeman, MT","Medford, OR",628,45.77750015,-111.1529999,42.3741989135742,-122.873001098633
2225289,CSG,MHK,"Columbus, GA","Manhattan, KS",800,32.516300201416,-84.9389038085938,39.140998840332,-96.6707992553711
1099142,ROC,HOU,"Rochester, NY","Houston, TX",1346,43.1189002990723,-77.6724014282227,29.64539909,-95.27890015
139647,BFM,TPA,"Mobile, AL","Tampa, FL",381,30.6268005371,-88.0680999756,27.9755001068115,-82.533203125
1160195,MCO,GRK,"Orlando, FL","Killeen, TX",1007,28.4293994903564,-81.3089981079102,31.067199707,-97.8289031982
1884712,GPT,SYR,"Gulfport, MS","Syracuse, NY",1131,30.4073009490967,-89.0700988769531,43.111198425293,-76.1063003540039
2750891,AZA,TWF,"Phoenix, AZ","Twin Falls, ID",651,33.30780029,-111.6549988,42.48180008,-114.487999
3406054,TUL,OKC,"Tulsa, OK","Oklahoma City, OK",111,36.1983985900879,-95.8880996704102,35.3931007385254,-97.600700378418
441683,BHM,MOB,"Birmingham, AL","Mobile, AL",216,33.56290054,-86.75350189,30.691200256348,-88.242797851562
3173771,LCK,PKB,"Columbus, OH","Parkersburg, WV",86,39.813801,-82.927803,39.345100402832,-81.4392013549805
2699768,BTV,PVD,"Burlington, VT","Providence, RI",209,44.4719009399,-73.1532974243,41.7326011657715,-71.4204025268555
2631657,AGS,PIT,"Augusta, GA","Pittsburgh, PA",501,33.3698997497559,-81.9645004272461,40.49150085,-80.23290253
3518219,MCE,SLC,"Merced, CA","Salt Lake City, UT",519,37.28469849,-120.5139999,40.7883987426758,-111.977996826172
2860229,DFW,ABQ,"Dallas, TX","Albuquerque, NM",569,32.896800994873,-97.0380020141602,35.0401992797852,-106.609001159668
113687,MDW,TPA,"Chicago, IL","Tampa, FL",997,41.7859992980957,-87.7524032592773,27.9755001068115,-82.533203125
2346471,BDL,SDM,"Hartford, CT","San Diego, CA",2496,41.9388999939,-72.6831970215,32.572299957275,-116.98000335693
2155481,LEX,LFT,"Lexington, KY","Lafayette, LA",685,38.0364990234375,-84.6059036254883,30.20529938,-91.98760223
2563045,SEA,FWA,"Seattle, WA","Fort Wayne, IN",1878,47.4490013122559,-122.30899810791,40.97850037,-85.19509888
3305384,ORD,OAJ,"Chicago, IL","Jacksonville, NC",744,41.97859955,-87.90480042,34.8292007446,-77.6120986938
1325730,HLN,MCO,"Helena, MT","Orlando, FL",2077,46.6068000793457,-111.983001708984,28.4293994903564,-81.3089981079102
444624,FSM,MOB,"Fort Smith, AR","Mobile, AL",479,35.3366012573242,-94.3674011230469,30.691200256348,-88.242797851562
535885,BFF,PIR,"Scottsbluff, NE","Pierre, SD",241,41.87400055,-103.5960007,44.38270187,-100.2860031
2440950,IAD,ORH,"Washington, DC","Worcester, MA",373,38.94449997,-77.45580292,42.2672996520996,-71.8757019042969
185519,OAK,AUS,"Oakland, CA","Austin, TX",1492,37.7212982177734,-122.221000671387,30.1944999694824,-97.6698989868164
2905368,OAK,PIB,"Oakland, CA","Hattiesburg, MS",1913,37.7212982177734,-122.221000671387,31.4671001434326,-89.3370971679688
1300323,PFN,MCO,"Panama City, FL","Orlando, FL",290,30.212099,-85.6828,28.4293994903564,-81.3089981079102
2281019,GTF,BNA,"Great Falls, MT","Nashville, TN",1487,47.48199844,-111.3710022,36.1245002746582,-86.6781997680664
397793,ALB,DAY,"Albany, NY","Dayton, OH",576,42.7482986450195,-73.8016967773438,39.902400970459,-84.2193984985352
3210851,MEM,TLH,"Memphis, TN","Tallahassee, FL",458,35.0424003601074,-89.9766998291016,30.3964996337891,-84.3503036499023
1260897,MDW,MAF,"Chicago, IL","Midland, TX",1047,41.7859992980957,-87.7524032592773,31.9424991607666,-102.202003479004
3286254,AGS,JAX,"Augusta, GA","Jacksonville, FL",199,33.3698997497559,-81.9645004272461,30.4941005706787,-81.6878967285156
1464149,LGA,MBS,"New York, NY","Saginaw, MI",557,40.77719879,-73.87259674,43.532901763916,-84.0795974731445
2892599,FLL,BRO,"Fort Lauderdale, FL","Brownsville, TX",1074,26.0725994110107,-80.152702331543,25.9067993164062,-97.4259033203125
994000,FYV,YIP,"Fayetteville, AR","Detroit, MI",714,36.0051002502441,-94.1700973510742,42.23789978,-83.53040314
3210424,SLC,TLH,"Salt Lake City, UT","Tallahassee, FL",1702,40.7883987426758,-111.977996826172,30.3964996337891,-84.3503036499023
436307,DRT,LRD,"Del Rio, TX","Laredo, TX",154,29.3742008209,-100.927001953,27.5438003540039,-99.4616012573242
172612,HVN,ALB,"New Haven, CT","Albany, NY",113,41.26369858,-72.88680267,42.7482986450195,-73.8016967773438
564703,PDX,AST,"Portland, OR","Astoria, OR",73,45.58869934,-122.5979996,46.158000946,-123.878997803
2892103,AMA,BRO,"Amarillo, TX","Brownsville, TX",691,35.2193984985352,-101.706001281738,25.9067993164062,-97.4259033203125
2400747,MSO,STL,"Missoula, MT","St. Louis, MO",1324,46.91630173,-114.0910034,38.7486991882324,-90.370002746582
108086,DBQ,OMA,"Dubuque, IA","Omaha, NE",278,42.40200043,-90.70950317,41.3031997680664,-95.8940963745117
2891967,MCI,BRO,"Kansas City, MO","Brownsville, TX",936,39.2976,-94.713898,25.9067993164062,-97.4259033203125
1176230,CID,LBB,"Cedar Rapids, IA","Lubbock, TX",791,41.8847007751465,-91.7108001708984,33.6636009216309,-101.822998046875
2220650,CHS,LEX,"Charleston, SC","Lexington, KY",435,32.89860153,-80.04049683,38.0364990234375,-84.6059036254883
105729,AUS,OMA,"Austin, TX","Omaha, NE",772,30.1944999694824,-97.6698989868164,41.3031997680664,-95.8940963745117
2959071,ANC,LIT,"Anchorage, AK","Little Rock, AR",3096,61.1744003295898,-149.996002197266,34.7294006348,-92.2242965698
3310677,AVP,MYR,"Scranton, PA","Myrtle Beach, SC",557,41.3385009766,-75.7233963013,33.6796989441,-78.9282989502
426054,BIF,FAT,"El Paso, TX","Fresno, CA",834,31.84950066,-106.3799973,36.7761993408203,-119.718002319336
2778480,CAE,DCA,"Columbia, SC","Washington, DC",408,33.9388008117676,-81.119499206543,38.8521,-77.037697
2468142,ILM,CHS,"Wilmington, NC","Charleston, SC",155,34.2705993652344,-77.9026031494141,32.89860153,-80.04049683
3236846,FSD,GRR,"Sioux Falls, SD","Grand Rapids, MI",568,43.5820007324,-96.741897583,42.88079834,-85.52279663
2460655,BQK,BHM,"Brunswick, GA","Birmingham, AL",347,31.2588005065918,-81.4664993286133,33.56290054,-86.75350189
566486,BHM,ATL,"Birmingham, AL","Atlanta, GA",134,33.56290054,-86.75350189,33.6366996765137,-84.4281005859375
428857,FAR,HLN,"Fargo, ND","Helena, MT",719,46.9207000732422,-96.815803527832,46.6068000793457,-111.983001708984
429194,TCM,HLN,"Tacoma, WA","Helena, MT",498,47.1376991272,-122.475997925,46.6068000793457,-111.983001708984
1440244,TUL,RDU,"Tulsa, OK","Raleigh, NC",957,36.1983985900879,-95.8880996704102,35.8776016235352,-78.7874984741211
1408830,DPA,PHX,"Chicago, IL","Phoenix, AZ",1422,41.90779877,-88.24859619,33.4342994689941,-112.012001037598
1818296,LGA,RIC,"New York, NY","Richmond, VA",292,40.77719879,-73.87259674,37.505199432373,-77.3197021484375
3533975,GRK,SLC,"Killeen, TX","Salt Lake City, UT",1036,31.067199707,-97.8289031982,40.7883987426758,-111.977996826172
3210106,IAH,TLH,"Houston, TX","Tallahassee, FL",658,29.9843997955322,-95.3414001464844,30.3964996337891,-84.3503036499023
1715185,BHM,LGA,"Birmingham, AL","New York, NY",866,33.56290054,-86.75350189,40.77719879,-73.87259674
1669031,BOS,LGA,"Boston, MA","New York, NY",185,42.36429977,-71.00520325,40.77719879,-73.87259674
3425151,MKE,SFO,"Milwaukee, WI","San Francisco, CA",1845,42.9472007751465,-87.896598815918,37.6189994812012,-122.375
1881219,BHM,SYR,"Birmingham, AL","Syracuse, NY",875,33.56290054,-86.75350189,43.111198425293,-76.1063003540039
1923149,MEM,AVL,"Memphis, TN","Asheville, NC",421,35.0424003601074,-89.9766998291016,35.4361991882324,-82.5418014526367
2908502,MKE,MCI,"Milwaukee, WI","Kansas City, MO",436,42.9472007751465,-87.896598815918,39.2976,-94.713898
1542101,SFB,ICT,"Orlando, FL","Wichita, KS",1117,28.7775993347168,-81.2375030517578,37.6498985290527,-97.4330978393555
3212574,SAN,TLH,"San Diego, CA","Tallahassee, FL",1936,32.7336006165,-117.190002441,30.3964996337891,-84.3503036499023
3174000,AVP,PBG,"Scranton, PA","Plattsburgh, NY",256,41.3385009766,-75.7233963013,44.6509017944336,-73.4681015014648
43957,TUS,FNT,"Tucson, AZ","Flint, MI",1660,32.1161003112793,-110.94100189209,42.9654006958008,-83.7435989379883
1841815,MSP,SJC,"Minneapolis, MN","San Jose, CA",1576,44.8819999695,-93.2218017578,37.3625984191895,-121.929000854492
2197607,YNG,LAS,"Youngstown, OH","Las Vegas, NV",1886,41.26070023,-80.67910004,36.08010101,-115.1520004
184129,LEX,AHN,"Lexington, KY","Athens, GA",291,38.0364990234375,-84.6059036254883,33.948600769043,-83.326301574707
1594651,MKE,LCK,"Milwaukee, WI","Columbus, OH",337,42.9472007751465,-87.896598815918,39.813801,-82.927803
3215257,DSM,CID,"Des Moines, IA","Cedar Rapids, IA",104,41.5340003967285,-93.6631011962891,41.8847007751465,-91.7108001708984
397507,FAI,DAY,"Fairbanks, AK","Dayton, OH",3012,64.81510162,-147.8560028,39.902400970459,-84.2193984985352
3262959,LAN,IND,"Lansing, MI","Indianapolis, IN",228,42.7787017822266,-84.58740234375,39.7173,-86.294403
439909,ICT,LAW,"Wichita, KS","Lawton, OK",219,37.6498985290527,-97.4330978393555,34.5676994324,-98.4166030884
3597397,MEM,COS,"Memphis, TN","Colorado Springs, CO",855,35.0424003601074,-89.9766998291016,38.805801391602,-104.70099639893
1663285,STL,MSO,"St. Louis, MO","Missoula, MT",1324,38.7486991882324,-90.370002746582,46.91630173,-114.0910034
3410810,SBN,OKC,"South Bend, IN","Oklahoma City, OK",749,41.7086982727051,-86.3172988891602,35.3931007385254,-97.600700378418
3017399,HUF,LAX,"Terre Haute, IN","Los Angeles, CA",1759,39.4514999389648,-87.3076019287109,33.94250107,-118.4079971
2322034,SMF,SAN,"Sacramento, CA","San Diego, CA",480,38.6954002380371,-121.591003417969,32.7336006165,-117.190002441
2749783,TYS,TCL,"Knoxville, TN","Tuscaloosa, AL",273,35.81100082,-83.9940033,33.220600128174,-87.611396789551
2750857,SLE,TWF,"Salem, OR","Twin Falls, ID",458,44.90950012,-123.0029984,42.48180008,-114.487999
3521742,LRD,SLC,"Laredo, TX","Salt Lake City, UT",1155,27.5438003540039,-99.4616012573242,40.7883987426758,-111.977996826172
3174122,TOL,PGD,"Toledo, OH","Punta Gorda, FL",1016,41.58679962,-83.80780029,26.92020035,-81.9905014
3405950,DOV,MUO,"Dover, DE","Mountain Home, ID",2106,39.12950134,-75.46600342,43.043598,-115.872002
2869788,BTR,ABQ,"Baton Rouge, LA","Albuquerque, NM",951,30.53319931,-91.14959717,35.0401992797852,-106.609001159668
2669852,PGV,PIT,"Greenville, NC","Pittsburgh, PA",370,35.6352005,-77.38529968,40.49150085,-80.23290253
940923,DPA,YIP,"Chicago, IL","Detroit, MI",243,41.90779877,-88.24859619,42.23789978,-83.53040314
4106,ABI,EKO,"Abilene, TX","Elko, NV",1064,32.4113006592,-99.6819000244,40.8249015808105,-115.791999816895
1554222,DCA,BPT,"Washington, DC","Beaumont, TX",1145,38.8521,-77.037697,29.9507999420166,-94.0206985473633
528117,PGV,EWR,"Greenville, NC","Newark, NJ",390,35.6352005,-77.38529968,40.6925010681152,-74.168701171875
32073,EUG,YUM,"Eugene, OR","Yuma, AZ",917,44.1245994567871,-123.21199798584,32.65660095,-114.6060028
31705,MSP,YUM,"Minneapolis, MN","Yuma, AZ",1423,44.8819999695,-93.2218017578,32.65660095,-114.6060028
733873,LAF,ORD,"Lafayette, IN","Chicago, IL",119,40.4123001098633,-86.936897277832,41.97859955,-87.90480042
1969675,PAH,BWI,"Paducah, KY","Baltimore, MD",675,37.0607986450195,-88.7738037109375,39.17539978,-76.66829681
2125562,GFK,GRB,"Grand Forks, ND","Green Bay, WI",495,47.949299,-97.176102,44.4850997924805,-88.1296005249023
2539511,PIT,LUK,"Pittsburgh, PA","Cincinnati, OH",243,40.49150085,-80.23290253,39.10329819,-84.41860199
1210097,CWA,MEM,"Wausau, WI","Memphis, TN",672,44.7775993347,-89.6668014526,35.0424003601074,-89.9766998291016
1784817,MWH,PDX,"Moses Lake, WA","Portland, OR",192,47.20769882,-119.3199997,45.58869934,-122.5979996
3598740,GYY,COS,"Gary, IN","Colorado Springs, CO",933,41.6162986755371,-87.4128036499023,38.805801391602,-104.70099639893
2541855,CBE,CBE,"Cumberland, MD","Cumberland, MD",0,39.615398407,-78.7609024048,39.615398407,-78.7609024048
1557100,LAX,BIL,"Los Angeles, CA","Billings, MT",970,33.94250107,-118.4079971,45.8077011108398,-108.542999267578
2832318,OKK,IAD,"Kokomo, IN","Washington, DC",471,40.528198242188,-86.05899810791,38.94449997,-77.45580292
2123248,PHX,FLG,"Phoenix, AZ","Flagstaff, AZ",119,33.4342994689941,-112.012001037598,35.13850021,-111.6709976
536175,PHX,PUB,"Phoenix, AZ","Pueblo, CO",538,33.4342994689941,-112.012001037598,38.2891006469727,-104.497001647949
2908214,TPA,MCI,"Tampa, FL","Kansas City, MO",1048,27.9755001068115,-82.533203125,39.2976,-94.713898
1921706,LAF,ANC,"Lafayette, IN","Anchorage, AK",2961,40.4123001098633,-86.936897277832,61.1744003295898,-149.996002197266
12307,LAX,GYY,"Los Angeles, CA","Gary, IN",1766,33.94250107,-118.4079971,41.6162986755371,-87.4128036499023
1737590,TLH,JFK,"Tallahassee, FL","New York, NY",922,30.3964996337891,-84.3503036499023,40.63980103,-73.77890015
1366379,PRC,PHX,"Prescott, AZ","Phoenix, AZ",87,34.65449905,-112.4199982,33.4342994689941,-112.012001037598
3368912,MLU,PHL,"Monroe, LA","Philadelphia, PA",1064,32.5108985900879,-92.0376968383789,39.871898651123,-75.241096496582
2828964,LBB,IAD,"Lubbock, TX","Washington, DC",1403,33.6636009216309,-101.822998046875,38.94449997,-77.45580292
34149,GYY,CAK,"Gary, IN","Akron, OH",315,41.6162986755371,-87.4128036499023,40.9160995483398,-81.4421997070312
3057236,STL,MSP,"St. Louis, MO","Minneapolis, MN",449,38.7486991882324,-90.370002746582,44.8819999695,-93.2218017578
201687,EFD,AUS,"Houston, TX","Austin, TX",156,29.6072998047,-95.1587982178,30.1944999694824,-97.6698989868164
2559953,ROA,FWA,"Roanoke, VA","Fort Wayne, IN",377,37.3255004883,-79.975402832,40.97850037,-85.19509888
1837354,AEX,RFD,"Alexandria, LA","Rockford, IL",773,31.3274002075195,-92.5497970581055,42.1954002380371,-89.0971984863281
1118970,DHN,HOU,"Dothan, AL","Houston, TX",598,31.3213005065918,-85.4496002197266,29.64539909,-95.27890015
2832982,MGW,IAD,"Morgantown, WV","Washington, DC",140,39.64289856,-79.91629791,38.94449997,-77.45580292
1670316,CLT,JFK,"Charlotte, NC","New York, NY",541,35.2140007019043,-80.9430999755859,40.63980103,-73.77890015
2890038,UIN,BMI,"Quincy, IL","Bloomington, IL",126,39.94269943,-91.19460297,40.47710037,-88.91590118
2158395,SMF,LAS,"Sacramento, CA","Las Vegas, NV",397,38.6954002380371,-121.591003417969,36.08010101,-115.1520004
546264,OAK,FOE,"Oakland, CA","Topeka, KS",1440,37.7212982177734,-122.221000671387,38.9509010315,-95.6635971069
1773737,MKC,LGA,"Kansas City, MO","New York, NY",1103,39.1231994628906,-94.5927963256836,40.77719879,-73.87259674
2062783,FWA,CLE,"Fort Wayne, IN","Cleveland, OH",177,40.97850037,-85.19509888,41.4117012024,-81.8498001099
3486841,LFT,SPS,"Lafayette, LA","Wichita Falls, TX",462,30.20529938,-91.98760223,33.98880005,-98.49189758
3173558,HSV,PFN,"Huntsville, AL","Panama City, FL",312,34.637199401855,-86.775100708008,30.212099,-85.6828
448191,AUS,APF,"Austin, TX","Naples, FL",1008,30.1944999694824,-97.6698989868164,26.1525993347,-81.7752990723
41730,BFL,FAR,"Bakersfield, CA","Fargo, ND",1397,35.43360138,-119.0569992,46.9207000732422,-96.815803527832
530898,MCO,PIA,"Orlando, FL","Peoria, IL",967,28.4293994903564,-81.3089981079102,40.6641998291,-89.6932983398
418591,SEA,EUG,"Seattle, WA","Eugene, OR",234,47.4490013122559,-122.30899810791,44.1245994567871,-123.21199798584
1166118,COS,LAR,"Colorado Springs, CO","Laramie, WY",180,38.805801391602,-104.70099639893,41.3120994567871,-105.675003051758
440309,SVN,LAW,"Savannah, GA","Lawton, OK",1014,32.00999832,-81.14569855,34.5676994324,-98.4166030884
2577837,SLC,GSO,"Salt Lake City, UT","Greensboro, NC",1757,40.7883987426758,-111.977996826172,36.0978012084961,-79.9373016357422
1060759,GYY,HOU,"Gary, IN","Houston, TX",936,41.6162986755371,-87.4128036499023,29.64539909,-95.27890015
539829,ADS,TOL,"Dallas, TX","Toledo, OH",931,32.9686012268,-96.8364028931,41.58679962,-83.80780029
1457612,FAI,RDD,"Fairbanks, AK","Redding, CA",1965,64.81510162,-147.8560028,40.50899887,-122.2929993
42032,DTW,FNT,"Detroit, MI","Flint, MI",56,42.2123985290527,-83.353401184082,42.9654006958008,-83.7435989379883
1870788,EKO,SHR,"Elko, NV","Sheridan, WY",524,40.8249015808105,-115.791999816895,44.7691993713379,-106.980003356934
2542095,STL,DSM,"St. Louis, MO","Des Moines, IA",259,38.7486991882324,-90.370002746582,41.5340003967285,-93.6631011962891
557904,MOB,TUP,"Mobile, AL","Tupelo, MS",248,30.691200256348,-88.242797851562,34.2681007385254,-88.7698974609375
3540009,SHV,SLC,"Shreveport, LA","Salt Lake City, UT",1158,32.4466018676758,-93.8255996704102,40.7883987426758,-111.977996826172
537379,BWI,SLN,"Baltimore, MD","Salina, KS",1128,39.17539978,-76.66829681,38.7910003662109,-97.6521987915039
1325361,GRK,MCO,"Killeen, TX","Orlando, FL",1007,31.067199707,-97.8289031982,28.4293994903564,-81.3089981079102
431215,SEA,JNU,"Seattle, WA","Juneau, AK",909,47.4490013122559,-122.30899810791,58.3549995422363,-134.57600402832
1160310,PNS,GRK,"Pensacola, FL","Killeen, TX",634,30.473400115967,-87.186599731445,31.067199707,-97.8289031982
1457005,CMH,RDG,"Columbus, OH","Reading, PA",367,39.9980010986328,-82.8918991088867,40.3785018920898,-75.965202331543
2079529,TVC,CLE,"Traverse City, MI","Cleveland, OH",298,44.7414016723633,-85.5821990966797,41.4117012024,-81.8498001099
1923456,CAE,AVL,"Columbia, SC","Asheville, NC",131,33.9388008117676,-81.119499206543,35.4361991882324,-82.5418014526367
3525894,RDM,SLC,"Bend, OR","Salt Lake City, UT",526,44.2541008,-121.1500015,40.7883987426758,-111.977996826172
2438335,JHW,ART,"Jamestown, NY","Watertown, NY",207,42.15340042,-79.25800323,43.9919013977051,-76.0216979980469
2242385,DAL,MKE,"Dallas, TX","Milwaukee, WI",850,32.8470993041992,-96.8517990112305,42.9472007751465,-87.896598815918
3176849,GEG,SAT,"Spokane, WA","San Antonio, TX",1610,47.6198997497559,-117.533996582031,29.5337009429932,-98.4698028564453
90887,LAS,OPF,"Las Vegas, NV","Miami, FL",2172,36.08010101,-115.1520004,25.90699959,-80.27839661
1965423,BNA,BWI,"Nashville, TN","Baltimore, MD",588,36.1245002746582,-86.6781997680664,39.17539978,-76.66829681
1555032,RNO,BPT,"Reno, NV","Beaumont, TX",1599,39.4990997314453,-119.767997741699,29.9507999420166,-94.0206985473633
1261596,PUB,MAF,"Pueblo, CO","Midland, TX",457,38.2891006469727,-104.497001647949,31.9424991607666,-102.202003479004
2224225,ROA,LYH,"Roanoke, VA","Lynchburg, VA",43,37.3255004883,-79.975402832,37.3266983032227,-79.2004013061523
2586755,ALB,GSP,"Albany, NY","Greenville, SC",706,42.7482986450195,-73.8016967773438,34.8956985474,-82.2189025879
2845476,YNG,ILG,"Youngstown, OH","Wilmington, DE",288,41.26070023,-80.67910004,39.67869949,-75.60649872
