,Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
161746,MLU,TUL,"Monroe, LA","Tulsa, OK",336,32.5108985900879,-92.0376968383789,36.1983985900879,-95.8880996704102
698449,ORD,AGS,"Chicago, IL","Augusta, GA",677,41.97859955,-87.90480042,33.3698997497559,-81.9645004272461
1280218,KTN,OAK,"Ketchikan, AK","Oakland, CA",1297,55.35559845,-131.7140045,37.7212982177734,-122.221000671387
2733915,TPA,SHV,"Tampa, FL","Shreveport, LA",742,27.9755001068115,-82.533203125,32.4466018676758,-93.8255996704102
1040444,OKC,IAH,"Oklahoma City, OK","Houston, TX",395,35.3931007385254,-97.600700378418,29.9843997955322,-95.3414001464844
101212,YIP,OMA,"Detroit, MI","Omaha, NE",641,42.23789978,-83.53040314,41.3031997680664,-95.8940963745117
565985,MCN,ATL,"Macon, GA","Atlanta, GA",79,32.692798614502,-83.6492004394531,33.6366996765137,-84.4281005859375
2910918,ELP,MCI,"El Paso, TX","Kansas City, MO",834,31.80719948,-106.3779984,39.2976,-94.713898
2886757,TCM,BTR,"Tacoma, WA","Baton Rouge, LA",2020,47.1376991272,-122.475997925,30.53319931,-91.14959717
1575129,EVV,CSG,"Evansville, IN","Columbus, GA",408,38.0369987488,-87.5324020386,32.516300201416,-84.9389038085938
2187828,GRB,LAS,"Green Bay, WI","Las Vegas, NV",1533,44.4850997924805,-88.1296005249023,36.08010101,-115.1520004
1871845,CLE,SYR,"Cleveland, OH","Syracuse, NY",317,41.4117012024,-81.8498001099,43.111198425293,-76.1063003540039
1467286,OAK,SNS,"Oakland, CA","Salinas, CA",80,37.7212982177734,-122.221000671387,36.662799835205,-121.60600280762
440920,BNA,MWA,"Nashville, TN","Marion, IL",171,36.1245002746582,-86.6781997680664,37.75500107,-89.01110077
1910629,CHS,EDF,"Charleston, SC","Anchorage, AK",3598,32.89860153,-80.04049683,61.2509994506836,-149.807006835938
2138979,RNO,KTN,"Reno, NV","Ketchikan, AK",1227,39.4990997314453,-119.767997741699,55.35559845,-131.7140045
1613424,TUP,GPT,"Tupelo, MS","Gulfport, MS",266,34.2681007385254,-88.7698974609375,30.4073009490967,-89.0700988769531
2886308,LEX,BTR,"Lexington, KY","Baton Rouge, LA",645,38.0364990234375,-84.6059036254883,30.53319931,-91.14959717
1848056,DAY,SJC,"Dayton, OH","San Jose, CA",2032,39.902400970459,-84.2193984985352,37.3625984191895,-121.929000854492
1732748,NZY,JFK,"San Diego, CA","New York, NY",2448,32.69919968,-117.2149963,40.63980103,-73.77890015
562291,LRD,ABI,"Laredo, TX","Abilene, TX",335,27.5438003540039,-99.4616012573242,32.4113006592,-99.6819000244
2622019,ERI,MHT,"Erie, PA","Manchester, NH",450,42.0831270134,-80.1738667488,42.9325981140137,-71.4356994628906
3049974,CPR,MSP,"Casper, WY","Minneapolis, MN",674,42.90800095,-106.4639969,44.8819999695,-93.2218017578
2542094,PIT,DSM,"Pittsburgh, PA","Des Moines, IA",704,40.49150085,-80.23290253,41.5340003967285,-93.6631011962891
3406463,LIT,OKC,"Little Rock, AR","Oklahoma City, OK",308,34.7294006348,-92.2242965698,35.3931007385254,-97.600700378418
2300304,PUB,PIH,"Pueblo, CO","Pocatello, ID",532,38.2891006469727,-104.497001647949,42.9098014831543,-112.596000671387
435819,MBS,OKK,"Saginaw, MI","Kokomo, IN",231,43.532901763916,-84.0795974731445,40.528198242188,-86.05899810791
2258121,LGA,BNA,"New York, NY","Nashville, TN",764,40.77719879,-73.87259674,36.1245002746582,-86.6781997680664
2716705,ORD,SMF,"Chicago, IL","Sacramento, CA",1782,41.97859955,-87.90480042,38.6954002380371,-121.591003417969
15536,TUS,RNO,"Tucson, AZ","Reno, NV",709,32.1161003112793,-110.94100189209,39.4990997314453,-119.767997741699
3142964,SFO,MSY,"San Francisco, CA","New Orleans, LA",1911,37.6189994812012,-122.375,29.9934005737305,-90.2580032348633
3196915,MDW,BFF,"Chicago, IL","Scottsbluff, NE",817,41.7859992980957,-87.7524032592773,41.87400055,-103.5960007
192506,MDW,AUS,"Chicago, IL","Austin, TX",967,41.7859992980957,-87.7524032592773,30.1944999694824,-97.6698989868164
688,FLL,RDM,"Fort Lauderdale, FL","Bend, OR",2601,26.0725994110107,-80.152702331543,44.2541008,-121.1500015
